"On average, how many hours of sleep do you get per night?",What city and state / province / country do you live in?,What is your current primary occupation?
7,Canada,Business/Strategy
7,India,Data Engineer
8,Japan,Machine Learning Engineer
6,UK,Data Analyst
8,Japan,Freelancing
8,Mexico,Business/Strategy
7,China,Educator / Instructor
8,Spain,Co-founder (or solo founder)
7,Argentina, Artificial Intelligence Engineer
8,Spain,Business Intelligence / Business Analyst
6,China,Data Scientist
8,Mexico, Artificial Intelligence Engineer
8,Argentina,Student
8,Argentina,Educator / Instructor
6,US,Business Intelligence / Business Analyst
7,China,Sales
7,Mexico,Educator / Instructor
7,Russia,Business Intelligence / Business Analyst
6,UK,Software Engineer
6,China,Software Engineer
7,Japan,Software Engineer
8,China,Software Engineer
7,Argentina,Software Engineer
7,Japan,Other
6,India,Data Scientist
7,UK,Software Engineer
6,Russia,Data Scientist
6,Russia,Product Management/Project Management
8,Russia,Other
6,India,Software Engineer
6,Mexico,Other
7,Russia,Data Analyst
8,France,Data Analyst
8,UK,Machine Learning Engineer
6,Spain,Other
7,France,Other
8,UK,Software Engineer
7,Mexico,Business/Strategy
7,Singapore,Machine Learning Engineer
6,France,Software Engineer
7,Russia,Machine Learning Engineer
6,UK,Data Scientist
7,Japan,Data Scientist
7,France,Software Engineer
8,Mexico,Data Analyst
7,Mexico,Software Engineer
7,US,Data Scientist
6,Japan,Software Engineer
7,Spain,Data Analyst
7,India,Other
8,Japan,Educator / Instructor
8,Japan,Data Analyst
7,Japan,Research
8,India,Consulting
8,Mexico,Data Analyst
8,Russia,Product Management/Project Management
7,Russia,Other
8,France,Product Management/Project Management
7,Spain,Software Engineer
7,Singapore, Artificial Intelligence Engineer
6,Argentina,Software Engineer
6,Russia,Business/Strategy
7,Japan,Accounting/Finance
7,Spain,Student
9,Argentina,Consulting
8,Argentina,Other
8,Argentina,Business Intelligence / Business Analyst
7,Argentina,Research
7,US,Research
7,France,Product Management/Project Management
8,Russia,Self employed
7,Mexico,Other
7,UK,Software Engineer
8,Argentina,Data Scientist
7,France,Software Engineer
6,China,Accounting/Finance
8,India,Data Scientist
6,India,Freelancing
7,Argentina,Software Engineer
8,US,Software Engineer
8,Mexico,Self employed
7,Mexico,Software Engineer
6,Canada,Research
6,Spain,Accounting/Finance
7,France,Freelancing
6,China,Machine Learning Engineer
7,China,Software Engineer
7,France,Software Engineer
7,US,Consulting
6,US, Artificial Intelligence Engineer
8,China,Machine Learning Engineer
7,Russia,Other
7,Canada,Machine Learning Engineer
6,UK,Machine Learning Engineer
6,Canada,Product Management/Project Management
7,Russia,Sales
6,UK,Software Engineer
7,Singapore,Software Engineer
7,China,Other
7,Canada,Software Engineer
7,US,Self employed
9,UK, Artificial Intelligence Engineer
8,Japan,Software Engineer
8,France,Marketing
8,China,Software Engineer
7,Mexico,Software Engineer
7,Mexico,Software Engineer
5,Japan,Accounting/Finance
8,Japan,Software Engineer
8,India,Machine Learning Engineer
6,Spain,Software Engineer
8,France,Data Scientist
6,Russia,Data Scientist
6,Canada,Software Engineer
8,UK,Machine Learning Engineer
8,US,Machine Learning Engineer
6,Canada,Data Scientist
6,Russia,Research
7,India,Business Intelligence / Business Analyst
7,Singapore,Data Engineer
8,India,Software Engineer
6,Russia,Data Scientist
8,UK,Research
7,China,Business Intelligence / Business Analyst
7,US,Student
7,India,Data Scientist
7,Canada,Data Analyst
6,Spain,Consulting
7,US,Business Intelligence / Business Analyst
7,Japan,Consulting
8,Canada,Research
7,Singapore,Data Scientist
7,Singapore,Business Intelligence / Business Analyst
8,Argentina,Software Engineer
5,France,Software Engineer
7,China,Consulting
8,US,Software Engineer
7,Canada,Business Intelligence / Business Analyst
7,Argentina,Business Intelligence / Business Analyst
7,Russia,Research
6,Spain,Business Intelligence / Business Analyst
8,India,Other
7,Russia,Software Engineer
6,Mexico,Accounting/Finance
6,China,Other
8,Russia,Software Engineer
6,Japan,Data Analyst
6,China,Data Scientist
7,Mexico,Freelancing
6,Argentina,Data Engineer
6,Canada,Software Engineer
6,UK,Software Engineer
8,Russia,Educator / Instructor
8,Canada,Co-founder (or solo founder)
7,France,Software Engineer
7,US,Software Engineer
7,France,Educator / Instructor
4,China,Consulting
7,China, Artificial Intelligence Engineer
7,Japan,Product Management/Project Management
6,France,Machine Learning Engineer
6,Argentina,Freelancing
8,Singapore,Product Management/Project Management
7,Mexico,Business Intelligence / Business Analyst
6,India,Research
7,Canada,Other
7,US,Other
7,Argentina,Data Scientist
8,China,Software Engineer
8,China,Data Scientist
